unitid,"cipcode",awlevel,_type_,_freq_,crace15,crace16
100706,"17.0000",1,7,1,54,39
100706,"17.0000",2,7,1,18,7
100706,"18.0000",5,7,1,2,66
100706,"18.0000",7,7,1,1,14
100706,"23.0000",5,7,2,6,11
100706,"23.0000",7,7,1,,5
100706,"26.0000",5,7,1,7,11
100706,"26.0000",7,7,1,3,
100706,"27.0000",5,7,1,10,15
100706,"27.0000",7,7,1,6,6
100706,"31.0000",5,7,1,1,
100706,"40.0000",5,7,2,6,4
100706,"40.0000",7,7,2,6,1
100706,"40.0000",9,7,1,2,
100706,"42.0000",5,7,1,3,4
100706,"42.0000",7,7,1,,7
100706,"43.0000",5,7,1,,1
100706,"45.0000",5,7,2,6,2
100706,"45.0000",7,7,1,,1
100706,"50.0000",5,7,2,2,17
100706,"99.0000",1,7,1,54,39
100706,"99.0000",2,7,1,18,7
100706,"99.0000",3,7,1,1,6
100706,"99.0000",5,7,1,331,360
100706,"99.0000",7,7,1,80,67
100706,"99.0000",9,7,1,5,1
100724,"06.0000",3,7,1,1,1
100724,"06.0000",5,7,4,17,20
100724,"07.0000",3,7,1,,1
100724,"07.0000",5,7,1,1,41
100724,"09.0000",5,7,3,13,11
100724,"11.0000",5,7,1,19,26
100724,"13.0000",5,7,9,2,18
100724,"13.0000",7,7,11,11,74
100724,"13.0000",8,7,5,2,5
100724,"17.0000",5,7,1,1,2
100724,"20.0000",3,7,1,,1
100724,"23.0000",5,7,1,1,3
100724,"26.0000",5,7,1,2,5
100724,"26.0000",7,7,1,1,3
100724,"27.0000",5,7,1,2,
100724,"27.0000",7,7,1,4,
100724,"31.0000",5,7,1,2,3
100724,"40.0000",5,7,1,2,
100724,"42.0000",5,7,1,2,5
100724,"43.0000",5,7,1,18,20
100724,"44.0000",5,7,2,6,20
100724,"44.0000",7,7,1,7,14
100724,"44.0000",8,7,1,1,
100724,"45.0000",5,7,3,8,5
100724,"50.0000",5,7,2,2,1
100724,"99.0000",3,7,1,1,3
100724,"99.0000",5,7,1,98,180
100724,"99.0000",7,7,1,23,91
100724,"99.0000",8,7,1,3,5
100751,"04.0000",5,7,2,2,24
100751,"05.0000",5,7,2,2,3
100751,"05.0000",7,7,2,2,6
100751,"06.0000",5,7,10,282,218
100751,"06.0000",7,7,8,81,48
100751,"06.0000",9,7,2,9,2
100751,"09.0000",5,7,4,132,159
100751,"09.0000",7,7,3,5,4
100751,"11.0000",5,7,1,23,15
100751,"11.0000",7,7,1,5,
100751,"13.0000",5,7,15,36,168
100751,"13.0000",7,7,15,27,115
100751,"13.0000",8,7,5,1,8
100751,"13.0000",9,7,9,17,35
100751,"14.0000",5,7,9,187,45
100751,"14.0000",7,7,11,57,5
100751,"14.0000",9,7,6,8,
100751,"15.0000",5,7,2,23,3
100751,"16.0000",5,7,2,1,4
100751,"16.0000",7,7,2,2,4
100751,"16.0000",9,7,1,1,
100751,"17.0000",5,7,1,,2
100751,"18.0000",5,7,4,18,91
100751,"18.0000",7,7,2,,14
100751,"19.0000",5,7,6,6,67
100751,"19.0000",7,7,3,,6
100751,"20.0000",5,7,1,,1
100751,"20.0000",7,7,1,,2
