unitid,cipcode,awlevel,_type_,_freq_,crace15,crace16
2776,990000,7,7,1,10,0
2776,990000,10,7,1,7,0
2793,40000,5,7,2,21,33
2793,100000,3,7,1,1,0
2793,500000,2,7,1,2,2
2793,500000,3,7,1,21,81
2793,500000,5,7,3,71,174
2793,500000,7,7,2,8,11
2793,990000,2,7,1,2,2
2793,990000,3,7,1,22,81
2793,990000,5,7,1,92,207
2793,990000,7,7,1,8,11
3195,60000,5,7,1,10,2
3195,130000,5,7,5,15,16
3195,230000,5,7,1,0,1
3195,240000,3,7,1,7,17
3195,300000,5,7,1,2,1
3195,310000,5,7,1,2,1
3195,380000,5,7,1,1,0
3195,390000,2,7,1,4,2
3195,390000,5,7,1,0,1
3195,420000,5,7,1,3,6
3195,450000,5,7,1,1,2
3195,500000,5,7,1,1,0
3195,990000,2,7,1,4,2
3195,990000,3,7,1,7,17
3195,990000,5,7,1,35,30
3462,10000,3,7,1,3,0
3462,60000,3,7,1,2,1
3462,70000,3,7,1,0,3
3462,130000,3,7,3,0,4
3462,140000,3,7,1,1,0
3462,170000,2,7,1,0,8
3462,170000,3,7,1,0,8
3462,240000,3,7,1,6,2
3462,450000,3,7,1,1,0
3462,500000,3,7,1,0,2
3462,990000,2,7,1,0,8
3462,990000,3,7,1,13,20
3472,60000,3,7,3,11,37
3472,70000,2,7,2,0,11
3472,70000,3,7,5,0,29
3472,80000,3,7,1,4,11
3472,100000,3,7,1,1,1
3472,130000,5,7,1,16,0
3472,150000,2,7,1,1,0
3472,150000,3,7,6,59,6
3472,150000,5,7,3,38,1
3472,170000,3,7,2,1,6
3472,230000,3,7,1,0,1
3472,250000,3,7,1,0,1
3472,260000,3,7,1,0,1
3472,270000,3,7,1,7,1
3472,310000,3,7,1,2,3
3472,400000,3,7,3,5,1
3472,410000,3,7,1,1,6
3472,420000,3,7,1,0,2
3472,450000,3,7,1,2,0
3472,470000,3,7,3,33,1
3472,480000,3,7,1,8,1
3472,990000,2,7,1,1,11
3472,990000,3,7,1,134,108
3472,990000,5,7,1,54,1
3474,60000,5,7,3,190,94
3474,60000,7,7,2,83,27
3474,90000,5,7,2,25,20
3474,90000,7,7,2,4,2
3474,110000,5,7,1,28,18
3474,130000,5,7,11,37,110
3474,130000,7,7,9,49,61
3474,130000,9,7,4,20,10
3474,160000,5,7,3,0,6
3474,170000,3,7,1,1,22
3474,170000,5,7,4,8,24
3474,180000,3,7,1,10,63
3474,180000,5,7,2,5,21
3474,180000,7,7,1,2,25
3474,181001,5,7,1,37,10
3474,181001,10,7,1,41,8
3474,220101,10,7,1,58,21
3474,230000,5,7,2,2,6
3474,230000,7,7,1,2,5
3474,240000,5,7,1,2,4
3474,240000,7,7,1,2,3
3474,260000,5,7,1,23,13
3474,260000,7,7,3,8,3
3474,260000,9,7,1,1,0
3474,270000,5,7,1,7,4
3474,270000,7,7,1,2,3
3474,310000,5,7,1,5,5
3474,380000,5,7,1,1,2
3474,400000,5,7,2,20,6
3474,400000,7,7,1,0,1
3474,420000,5,7,1,17,20
3474,420000,7,7,1,3,5
3474,420000,9,7,1,4,2
3474,430000,3,7,1,2,0
3474,430000,5,7,1,21,13
3474,440000,5,7,1,1,17
3474,440000,7,7,1,11,7
3474,450000,5,7,5,35,14
3474,450000,7,7,3,14,3
3474,500000,5,7,4,10,13
3474,500000,7,7,3,3,3
3474,990000,3,7,1,13,85
3474,990000,5,7,1,474,420
3474,990000,7,7,1,183,148
3474,990000,9,7,1,25,12
3474,990000,10,7,1,99,29
3476,60000,5,7,1,4,0
3476,90000,5,7,1,3,0
3476,130000,5,7,4,4,11
3476,220000,3,7,1,0,3
3476,230000,5,7,1,0,1
3476,240000,3,7,1,1,3
3476,380000,5,7,1,1,0
3476,400000,5,7,1,2,1
3476,420000,5,7,1,0,2
3476,430000,5,7,1,3,0
3476,440000,5,7,1,1,1
3476,450000,5,7,3,3,1
3476,500000,5,7,2,3,1
3476,990000,3,7,1,1,6
3476,990000,5,7,1,24,18
3777,60000,5,7,1,15,0
3777,70000,2,7,1,0,2
3777,130000,5,7,1,4,5
3777,130000,7,7,2,6,6
3777,300000,3,7,1,6,0
3777,300000,5,7,1,3,1
3777,990000,2,7,1,0,2
3777,990000,3,7,1,6,0
3777,990000,5,7,1,22,6
3777,990000,7,7,1,6,6
3913,500000,5,7,3,9,3
3913,500000,7,7,1,1,0
3913,990000,5,7,1,9,3
3913,990000,7,7,1,1,0
4007,10000,1,7,1,19,6
4007,10000,3,7,1,3,24
4007,20000,1,7,1,1,0
4007,20000,2,7,1,10,5
4007,40000,3,7,1,0,24
4007,60000,3,7,7,84,124
4007,70000,2,7,6,4,118
