unitid,"cipcode",awlevel,crace01,crace02,crace03,crace04,crace05,crace06,crace07,crace08,crace09,crace10,crace11,crace12,crace13,crace14,crace15,crace16,bal_m,bal_w
100654,"99.0000",8,1,1,,1,0,0,0,0,0,0,7,6,0,0,8,8,0,0
100663,"17.0000",1,0,0,8,,0,0,3,,0,0,118,29,0,0,129,29,0,0
100663,"99.0000",1,0,0,8,,0,0,3,,0,0,118,29,0,0,129,29,0,0
100663,"15.0000",2,1,,4,,0,0,1,,0,0,14,1,0,0,20,1,0,0
100663,"17.0000",2,0,0,7,35,,1,0,0,0,0,52,63,0,0,59,99,0,0
100663,"20.0000",2,0,0,,3,0,0,0,0,0,0,1,2,0,0,1,5,0,0
100663,"99.0000",2,1,,11,38,,1,1,,0,0,67,66,0,0,80,105,0,0
100663,"06.0000",5,3,7,10,24,0,0,0,0,1,,137,98,0,0,151,129,0,0
100663,"09.0000",5,0,0,2,4,0,0,0,0,0,0,19,29,0,0,21,33,0,0
100663,"11.0000",5,,6,3,2,0,0,0,0,0,0,23,9,0,0,26,17,0,0
100663,"13.0000",5,,1,,15,0,0,0,0,0,0,32,171,0,0,32,187,0,0
100663,"14.0000",5,6,1,4,5,0,0,0,0,0,0,79,14,0,0,89,20,0,0
100663,"16.0000",5,,1,,1,0,0,0,0,0,0,1,2,0,0,1,4,0,0
100663,"17.0000",5,,2,3,12,0,0,0,0,0,0,23,54,0,0,26,68,0,0
100663,"18.0000",5,,2,1,36,0,0,1,,1,,14,112,0,0,17,150,0,0
100663,"23.0000",5,0,0,,1,0,0,0,0,0,0,8,30,0,0,8,31,0,0
100663,"26.0000",5,2,,,4,0,0,0,0,0,0,18,11,0,0,20,15,0,0
100663,"27.0000",5,,3,0,0,0,0,0,0,0,0,6,2,0,0,6,5,0,0
100663,"30.0000",5,0,0,,2,0,0,0,0,1,,14,6,0,0,15,8,0,0
100663,"40.0000",5,,1,0,0,0,0,0,0,0,0,7,4,0,0,7,5,0,0
100663,"42.0000",5,,1,2,7,0,0,0,0,0,0,18,33,0,0,20,41,0,0
100663,"43.0000",5,,1,4,11,0,0,0,0,0,0,23,14,0,0,27,26,0,0
100663,"44.0000",5,0,0,,9,0,0,0,0,0,0,3,24,0,0,3,33,0,0
100663,"45.0000",5,,1,5,5,0,0,0,0,0,0,35,20,0,0,40,26,0,0
100663,"50.0000",5,,1,0,0,0,0,0,0,0,0,8,16,0,0,8,17,0,0
100663,"99.0000",5,11,28,34,138,0,0,1,,3,,468,649,0,0,517,815,0,0
100663,"18.0000",6,1,,0,0,0,0,0,0,0,0,5,13,0,0,6,13,0,0
100663,"19.0000",6,0,0,0,0,0,0,0,0,0,0,1,17,0,0,1,17,0,0
100663,"99.0000",6,1,,0,0,0,0,0,0,0,0,6,30,0,0,7,30,0,0
100663,"06.0000",7,5,1,,2,0,0,0,0,0,0,55,33,0,0,60,36,0,0
100663,"11.0000",7,9,2,0,0,,1,0,0,1,,2,3,0,0,12,6,0,0
100663,"13.0000",7,1,3,3,27,0,0,0,0,,1,46,249,0,0,50,280,0,0
100663,"14.0000",7,7,,0,0,0,0,2,2,0,0,12,9,0,0,21,11,0,0
100663,"17.0000",7,2,1,0,0,0,0,0,0,0,0,7,19,0,0,9,20,0,0
100663,"18.0000",7,22,9,3,20,0,0,2,3,,1,52,129,0,0,79,162,0,0
100663,"23.0000",7,0,0,1,,0,0,0,0,0,0,1,5,0,0,2,5,0,0
100663,"26.0000",7,,1,,1,0,0,,1,,1,4,9,0,0,4,13,0,0
100663,"27.0000",7,2,,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0
100663,"40.0000",7,,1,0,0,0,0,0,0,0,0,,1,0,0,,2,0,0
100663,"42.0000",7,0,0,0,0,0,0,0,0,0,0,2,3,0,0,2,3,0,0
