unitid,cipcode,awlevel,crace15,crace16
100812,260101,5,3,3
100812,270101,5,7,9
100812,309999,5,1,5
100812,380201,5,2,1
100812,400501,5,2,1
100812,400801,5,2,0
100812,409999,5,1,1
100812,419999,5,25,2
100812,420101,5,4,14
100812,429999,5,2,5
100812,430104,5,3,1
100812,450101,5,2,0
100812,450801,5,3,3
100812,451001,5,4,2
100812,451101,5,1,2
100812,500701,5,0,1
100812,990000,5,200,231
100858,10103,5,38,4
100858,10103,7,8,2
100858,10303,7,4,1
100858,10303,9,2,0
100858,20101,5,6,1
100858,20201,5,25,9
100858,20201,7,4,0
100858,20204,7,0,1
100858,20204,9,1,0
100858,20207,5,1,0
100858,20207,7,14,5
100858,20207,9,6,2
100858,20209,5,6,1
100858,20209,7,1,0
100858,20209,9,2,0
100858,20301,5,3,4
100858,20399,7,0,1
100858,20402,5,15,0
100858,20402,7,6,1
100858,20403,5,1,0
100858,20403,7,1,0
100858,20404,5,10,3
100858,20408,5,1,0
100858,20499,7,1,0
100858,30401,5,1,0
100858,30504,5,3,1
100858,30506,5,14,5
100858,30506,9,2,0
100858,30601,5,5,2
100858,30601,7,3,0
100858,30601,9,1,0
100858,40201,5,50,10
100858,40301,7,1,1
100858,40401,5,1,1
100858,40501,5,4,13
100858,40601,5,6,0
100858,49999,5,112,6
100858,50107,5,0,2
100858,50110,5,1,1
100858,60201,5,78,75
100858,60201,7,0,4
100858,60301,5,88,35
100858,60401,5,65,30
100858,60401,7,8,6
100858,60403,7,0,1
100858,60499,5,0,1
100858,60501,5,15,11
100858,60501,7,2,0
100858,60601,7,0,1
100858,60705,5,12,6
100858,60901,5,8,29
100858,61201,7,3,0
100858,61401,5,48,49
100858,61601,5,17,19
100858,62001,5,85,13
100858,70401,5,0,26
100858,80102,5,0,32
100858,90401,5,13,17
100858,90701,5,14,20
100858,99999,5,8,76
100858,110101,5,16,13
100858,110101,7,1,2
100858,110101,9,0,1
100858,130405,7,1,0
100858,130405,9,3,4
100858,130406,7,3,2
100858,130406,9,3,3
100858,130501,7,1,6
100858,131004,7,0,2
100858,131005,5,0,6
100858,131005,7,1,1
100858,131006,5,0,10
100858,131006,7,0,1
100858,131011,7,1,1
100858,131012,5,0,26
100858,131099,5,0,8
100858,131099,7,0,2
100858,131101,7,2,7
100858,131101,9,2,3
100858,131201,5,12,0
100858,131201,7,2,0
100858,131202,5,2,61
100858,131202,7,0,13
100858,131202,9,0,1
100858,131204,5,0,47
100858,131204,7,0,5
100858,131204,9,0,1
100858,131299,9,1,3
100858,131301,5,10,1
100858,131301,7,3,0
100858,131302,5,0,3
100858,131303,5,0,5
100858,131303,7,0,6
100858,131305,5,2,13
100858,131305,7,0,1
100858,131305,9,1,2
100858,131306,5,1,1
100858,131307,5,0,1
100858,131308,5,0,2
100858,131308,7,1,3
100858,131309,5,5,0
100858,131310,5,0,3
100858,131310,7,2,0
100858,131311,5,4,13
100858,131311,7,0,3
100858,131311,9,0,1
100858,131312,5,6,12
100858,131312,7,0,1
100858,131314,5,24,24
100858,131314,7,15,8
100858,131314,9,1,0
100858,131315,7,0,1
100858,131316,5,5,15
100858,131316,7,1,3
100858,131316,9,1,0
100858,131317,5,5,6
100858,131317,7,1,1
100858,131317,9,2,0
100858,139999,7,1,4
100858,140201,5,48,4
100858,140201,7,5,0
100858,140201,9,2,0
100858,140301,5,9,1
100858,140301,7,3,0
100858,140301,9,2,0
100858,140701,5,35,12
100858,140701,7,9,0
100858,140701,9,4,0
100858,140801,5,56,5
100858,140801,7,18,0
100858,140901,5,52,21
100858,140901,7,1,0
100858,141001,5,163,24
100858,141001,7,12,0
100858,141001,9,4,0
100858,141701,5,35,25
100858,141701,7,3,2
100858,141701,9,1,0
100858,141801,5,6,0
100858,141801,7,2,0
100858,141901,5,101,5
100858,141901,7,2,1
100858,142801,5,5,2
100858,149999,5,48,11
100858,160501,5,0,1
100858,160599,5,6,2
100858,160901,5,2,5
100858,160901,7,1,3
100858,160905,5,2,1
100858,160905,7,3,2
100858,160999,5,4,24
100858,170310,5,1,8
100858,170407,7,0,6
100858,170499,7,0,2
100858,170499,9,1,1
100858,170899,5,1,16
100858,170899,7,0,6
100858,180101,7,0,2
100858,180102,5,0,7
100858,180102,7,0,11
100858,180701,5,9,19
100858,181101,5,2,53
100858,181401,5,23,35
100858,181401,7,2,1
100858,181401,10,3,1
100858,182401,7,3,0
100858,182401,9,1,0
100858,182401,10,52,38
100858,190301,5,0,2
100858,190401,5,0,4
100858,190403,5,0,6
100858,190403,7,0,2
100858,190501,5,1,15
100858,190503,5,0,11
100858,190599,5,0,5
100858,190602,5,0,17
100858,190701,5,2,21
100858,190701,7,1,2
100858,190703,7,0,1
100858,190999,5,0,5
100858,190999,7,0,1
100858,230101,5,4,25
100858,230101,7,2,5
100858,230101,9,2,1
100858,231001,5,12,28
100858,231001,7,4,12
100858,260101,5,9,8
100858,260201,5,5,0
100858,260301,5,1,0
100858,260301,9,0,1
100858,260305,7,1,0
100858,260305,9,1,0
100858,260501,5,5,9
100858,260501,7,2,6
100858,260603,7,1,0
100858,260607,5,6,1
100858,260701,5,1,3
100858,260701,7,5,2
100858,260701,9,1,0
100858,260702,9,1,0
100858,260705,7,1,1
100858,260706,7,1,1
100858,260706,9,2,0
100858,270101,5,10,9
100858,270101,7,5,1
100858,270101,9,1,1
100858,270301,5,16,3
100858,310101,5,10,5
