unitid,"cipcode",awlevel,crace01,crace02,crace03,crace04,crace05,crace06,crace07,crace08,crace09,crace10,crace11,crace12,crace13,crace14,crace15,crace16,bal_m,bal_w
207740,"45.0000",3,0,0,0,0,1,0,0,0,0,0,3,1,0,0,4,1,0,0
207740,"50.0000",3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
207740,"51.0000",3,0,0,0,0,0,2,0,0,0,0,2,27,0,0,2,29,0,0
207740,"52.0000",3,0,0,1,0,1,3,0,0,0,0,11,14,0,0,13,17,0,0
207740,"99.0000",3,0,0,3,1,7,15,0,0,1,,49,100,0,0,60,116,0,0
207847,"03.0000",5,0,0,0,0,4,0,0,0,0,0,6,1,0,0,10,1,0,0
207847,"09.0000",5,0,0,1,0,1,2,0,0,0,1,2,4,0,0,4,7,0,0
207847,"11.0000",5,0,0,0,1,5,3,4,0,1,0,3,3,0,0,13,7,0,0
207847,"13.0000",5,0,0,0,2,12,44,0,0,0,0,37,109,0,0,49,155,0,0
207847,"15.0000",5,0,0,2,2,11,2,3,0,0,0,12,0,0,0,28,4,0,0
207847,"16.0000",5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
207847,"19.0000",5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0
207847,"20.0000",5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0
207847,"23.0000",5,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3,0,0
207847,"26.0000",5,0,0,0,0,1,1,0,0,0,0,5,3,0,0,6,4,0,0
207847,"27.0000",5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0
207847,"31.0000",5,0,0,4,0,1,0,0,0,0,0,8,0,0,0,13,0,0,0
207847,"40.0000",5,0,0,0,0,3,2,0,1,0,0,3,4,0,0,6,7,0,0
207847,"42.0000",5,0,0,0,0,1,4,0,0,0,0,8,14,0,0,9,18,0,0
207847,"43.0000",5,0,0,0,1,3,2,0,0,0,0,7,5,0,0,10,8,0,0
207847,"45.0000",5,0,0,1,1,3,7,0,0,0,0,6,10,0,0,10,18,0,0
207847,"48.0000",5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0
207847,"50.0000",5,0,0,0,0,0,3,0,0,0,0,1,3,0,0,1,6,0,0
207847,"51.0000",5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
207847,"52.0000",5,0,0,0,2,18,19,6,2,1,2,34,46,0,0,59,71,0,0
207847,"99.0000",5,0,0,8,9,66,91,13,3,2,3,137,210,0,0,226,316,0,0
207847,"13.0000",7,0,0,0,0,4,12,0,0,0,0,11,36,0,0,15,48,0,0
207847,"42.0000",7,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,0,0
207847,"52.0000",7,0,0,0,0,1,0,0,0,2,0,6,4,0,0,9,4,0,0
207847,"99.0000",7,0,0,0,0,5,12,0,0,2,,20,43,0,0,27,55,0,0
207847,"99.0000",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207856,"39.0000",3,0,0,0,0,0,1,0,1,0,0,8,7,0,0,8,9,0,0
207856,"99.0000",3,0,0,0,0,,1,,1,0,0,8,7,0,0,8,9,0,0
207856,"38.0000",5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
207856,"39.0000",5,0,0,1,0,0,0,0,0,1,0,3,2,0,0,5,2,0,0
207856,"99.0000",5,0,0,1,,0,0,0,0,1,,4,2,0,0,6,2,0,0
