unitid,"cipcode",awlevel,"xcrace01",crace01,"xcrace02",crace02,"xcrace03",crace03,"xcrace04",crace04,"xcrace05",crace05,"xcrace06",crace06,"xcrace07",crace07,"xcrace08",crace08,"xcrace09",crace09,"xcrace10",crace10,"xcrace11",crace11,"xcrace12",crace12,"xcrace13",crace13,"xcrace14",crace14,"xcrace15",crace15,"xcrace16",crace16
c2000_a.csv:130794,"40.0301",5,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"R",1,"R",2
c2000_a.csv:130794,"40.0501",5,"R",1,"R",1,"R",1,"R",1,"R",1,"R",1,"R",2,"R",2,"Z",0,"Z",0,"R",5,"Z",0,"R",2,"Z",0,"R",12,"R",5
c2000_a.csv:130794,"40.0699",5,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",6,"R",1,"Z",0,"R",3,"R",7
c2000_a.csv:130794,"40.0801",5,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"R",2,"Z",0,"R",6,"Z",0
c2000_a.csv:130794,"42.0101",5,"R",2,"R",2,"R",1,"R",8,"Z",0,"Z",0,"R",6,"R",11,"R",2,"R",4,"R",14,"R",26,"R",2,"R",3,"R",27,"R",54
c2000_a.csv:130794,"42.0301",5,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"Z",0
c2000_a.csv:130794,"45.0201",5,"R",1,"R",1,"Z",0,"R",4,"Z",0,"Z",0,"R",1,"R",2,"Z",0,"R",1,"R",2,"R",8,"R",1,"R",1,"R",5,"R",17
c2000_a.csv:130794,"45.0301",5,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"R",1,"R",1,"R",2
c2000_a.csv:130794,"45.0601",5,"R",15,"R",7,"R",3,"R",5,"R",2,"Z",0,"R",22,"R",18,"R",4,"R",1,"R",41,"R",17,"R",8,"R",4,"R",95,"R",52
c2000_a.csv:130794,"45.0801",5,"R",2,"R",1,"R",2,"R",4,"Z",0,"R",1,"R",14,"R",18,"R",8,"R",4,"R",70,"R",64,"R",10,"R",13,"R",106,"R",105
