unitid,cipcode,awlevel,crace01,crace02,crace03,crace04,crace05,crace06,crace07,crace08,crace09,crace10,crace11,crace12,crace15,crace16,bal_m,bal_w
2296,60000,3,0,0,2,1,0,1,0,0,0,4,12,25,14,31,0,0
2296,70000,1,0,0,0,1,0,0,0,0,0,0,1,14,1,15,0,0
2296,70000,2,0,0,0,2,0,0,0,0,0,0,0,25,0,27,0,0
2296,70000,3,0,0,0,6,0,0,0,0,1,1,24,137,25,144,0,0
2296,150000,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2296,150000,3,0,0,1,1,0,0,0,0,0,1,20,5,21,7,0,0
2296,170000,2,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0
2296,170000,3,0,0,0,1,0,0,0,0,0,0,0,17,0,18,0,0
2296,990000,1,0,0,0,1,0,0,0,0,0,0,1,15,1,16,0,0
2296,990000,2,0,0,0,2,0,0,0,0,0,0,1,28,1,30,0,0
2296,990000,3,0,0,3,9,0,1,0,0,1,6,56,184,60,200,0,0
2381,130000,3,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0
2381,170000,2,0,0,0,0,0,0,0,0,0,0,11,14,11,14,0,0
2381,170000,3,0,0,0,0,0,0,0,0,0,0,4,80,4,80,0,0
2381,180000,3,0,0,0,3,0,0,0,0,0,0,19,145,19,148,0,0
2381,990000,2,0,0,0,0,0,0,0,0,0,0,11,14,11,14,0,0
2381,990000,3,0,0,0,3,0,0,0,0,0,0,23,238,23,241,0,0
2508,380000,5,1,0,1,0,1,0,1,0,1,0,14,0,13,0,-6,0
2508,990000,5,1,0,1,0,1,0,1,0,1,0,14,0,13,0,-6,0
2510,70000,3,0,0,0,0,0,0,0,0,0,0,1,6,1,6,0,0
2510,240000,3,0,0,0,0,0,0,0,0,0,0,6,1,6,1,0,0
2510,390000,3,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0
2510,990000,3,0,0,0,0,0,0,0,0,0,0,12,12,12,12,0,0
2610,110000,2,0,0,0,0,0,0,0,1,0,0,1,3,1,4,0,0
2610,130000,5,0,0,0,1,0,0,0,1,0,1,0,24,0,27,0,0
2610,170000,3,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0
2610,180000,3,0,0,0,0,0,0,0,1,0,0,2,36,2,37,0,0
2610,180000,5,0,0,0,2,0,0,0,0,0,0,0,31,0,33,0,0
2610,230000,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2610,260000,5,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0
2610,420000,1,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0
2610,420000,2,0,0,0,0,0,0,0,1,0,0,1,1,1,2,0,0
2610,420000,5,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0
