unitid,"cipcode",awlevel,crace01,crace02,crace03,crace04,crace05,crace06,crace07,crace08,crace09,crace10,crace11,crace12,bal_m,bal_w,crace15,crace16
100636,"06.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,217,64,217,64
100636,"07.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,505,198,505,198
100636,"10.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,407,98,407,98
100636,"11.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,96,17,96,17
100636,"13.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,342,58,342,58
100636,"14.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,16,6,16,6
100636,"15.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,2019,136,2019,136
100636,"17.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,240,86,240,86
100636,"18.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,49,20,49,20
100636,"19.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,14,4,14,4
100636,"20.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,22,8,22,8
100636,"22.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10
100636,"31.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
100636,"41.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,136,20,136,20
100636,"43.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,484,29,484,29
100636,"44.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,30,4,30,4
100636,"45.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,8,4,8,4
100636,"47.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,119,20,119,20
100636,"48.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
100636,"49.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,776,122,776,122
100636,"50.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,10,1,10,1
100636,"99.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,5505,907,5505,907
100654,"01.0000",5,1,,2,,0,0,0,0,,,0,0,0,,3,
100654,"01.0000",7,6,1,2,,0,0,0,0,3,,0,0,0,0,11,1
100654,"02.0000",5,2,1,3,,0,0,,,0,0,1,1,0,0,6,2
100654,"02.0000",6,,,1,,0,0,,,0,0,,,0,,1,
100654,"02.0000",7,15,1,1,3,0,0,1,,0,0,,,0,0,17,4
100654,"03.0000",5,0,0,1,,0,0,0,0,0,0,0,0,0,,1,
100654,"04.0000",5,,,2,,0,0,0,0,0,0,0,0,0,,2,
100654,"04.0000",7,3,,1,,0,0,0,0,0,0,0,0,0,,4,
100654,"06.0000",5,12,6,35,59,0,0,0,0,1,,0,0,0,0,48,65
100654,"06.0000",7,36,3,4,11,0,0,0,0,4,3,0,0,0,0,44,17
100654,"07.0000",5,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,5
100654,"10.0000",5,0,0,5,9,0,0,0,0,0,0,0,0,0,0,5,9
100654,"11.0000",5,6,1,21,32,0,0,,,,1,0,0,0,0,27,34
100654,"11.0000",7,8,2,2,2,0,0,,1,,,0,0,0,0,10,5
100654,"13.0000",3,0,0,,1,0,0,0,0,0,0,0,0,,0,,1
100654,"13.0000",5,2,3,9,17,0,0,,,,,,6,0,0,11,26
100654,"13.0000",7,2,2,11,34,0,0,,1,1,1,18,50,0,0,32,88
100654,"13.0000",8,1,,2,4,0,0,,,,,3,6,0,0,6,10
100654,"14.0000",5,1,,2,1,0,0,2,,0,0,1,,0,0,6,1
100654,"15.0000",5,6,,18,4,0,0,1,,0,0,0,0,0,0,25,4
100654,"15.0000",7,1,,3,3,0,0,,,0,0,0,0,0,0,4,3
100654,"19.0000",5,,1,,11,0,0,0,0,,,0,0,,0,,12
100654,"19.0000",7,,,,,0,0,0,0,,1,0,0,,0,,1
100654,"23.0000",5,0,0,,1,0,0,0,0,0,0,,,,0,,1
100654,"23.0000",7,0,0,,,0,0,0,0,0,0,,1,,0,,1
100654,"26.0000",5,1,1,4,5,0,0,0,0,0,0,0,0,0,0,5,6
100654,"26.0000",7,4,2,2,3,0,0,0,0,0,0,0,0,0,0,6,5
100654,"27.0000",5,0,0,7,4,0,0,0,0,0,0,0,0,0,0,7,4
100654,"40.0000",5,2,1,2,2,0,0,0,0,0,0,,1,0,0,4,4
100654,"40.0000",7,3,,1,1,0,0,0,0,0,0,,,0,0,4,1
100654,"42.0000",7,2,1,1,2,0,0,0,0,,6,0,0,0,0,3,9
100654,"44.0000",5,0,0,3,12,0,0,0,0,0,0,0,0,0,0,3,12
100654,"45.0000",5,4,,6,3,0,0,0,0,0,0,0,0,0,0,10,3
100654,"48.0000",5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
100654,"99.0000",3,0,0,,1,0,0,0,0,0,0,0,0,,0,,1
100654,"99.0000",5,37,14,122,166,0,0,3,,1,1,2,8,0,0,165,189
100654,"99.0000",6,,,1,,0,0,,,,,,,0,,1,
100654,"99.0000",7,80,12,28,59,0,0,1,2,8,11,18,51,0,0,135,135
100654,"99.0000",8,1,,2,4,0,0,,,,,3,6,0,0,6,10
100663,"06.0000",5,,,11,18,0,0,0,0,0,0,146,110,0,0,157,128
100663,"06.0000",7,12,3,3,3,0,0,0,0,0,0,55,28,0,0,70,34
100663,"09.0000",5,0,0,4,8,0,0,0,0,0,0,24,23,0,0,28,31
100663,"11.0000",5,3,,,1,0,0,0,0,0,0,37,8,0,0,40,9
100663,"11.0000",7,12,1,,,0,0,0,0,0,0,8,1,0,0,20,2
100663,"11.0000",9,1,,,,0,0,0,0,0,0,1,,0,,2,
100663,"13.0000",5,,2,2,20,0,0,0,0,,,31,176,0,0,33,198
100663,"13.0000",7,1,3,1,10,0,0,0,0,,1,46,246,0,0,48,260
100663,"13.0000",8,,,,2,0,0,0,0,,,9,9,0,0,9,11
100663,"13.0000",9,,,1,1,0,0,0,0,,,1,2,0,0,2,3
100663,"14.0000",5,4,,5,3,0,0,0,0,0,0,83,6,0,0,92,9
100663,"14.0000",7,9,,,1,0,0,0,0,0,0,12,3,0,0,21,4
100663,"14.0000",9,,,,,0,0,0,0,0,0,1,1,0,0,1,1
100663,"15.0000",2,0,0,2,1,0,0,0,0,0,0,18,,0,0,20,1
100663,"16.0000",5,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2
100663,"17.0000",1,,1,4,3,0,0,0,0,0,0,73,8,0,0,77,12
100663,"17.0000",2,,,10,31,0,0,0,0,0,0,20,69,0,0,30,100
100663,"17.0000",5,,2,2,13,0,0,0,0,,1,12,61,0,0,14,77
