unitid,cipcode,awlevel,crace15,crace16
100812,150404,5,9,0
100812,230101,5,0,1
100812,239999,5,0,1
100812,240101,5,8,8
100812,260101,5,1,2
100812,270101,5,4,1
100812,279999,5,1,2
100812,380201,5,3,2
100812,389999,5,1,0
100812,419999,5,5,0
100812,420101,5,7,7
100812,429999,5,2,7
100812,430104,5,2,3
100812,450101,5,1,1
100812,450801,5,2,3
100812,451001,5,2,2
100812,451101,5,0,2
100812,500703,5,1,0
100812,990000,5,159,158
100858,10103,5,30,5
100858,10103,7,9,1
100858,10303,7,10,0
100858,10303,9,1,1
100858,20101,5,8,0
100858,20201,5,34,16
100858,20201,7,2,3
100858,20201,9,2,0
100858,20207,5,0,1
100858,20207,7,17,2
100858,20207,9,6,1
100858,20209,5,9,1
100858,20301,5,0,1
100858,20402,5,16,2
100858,20402,7,6,0
100858,20402,9,2,0
100858,20403,5,3,0
100858,20403,7,3,1
100858,20404,5,8,7
100858,20405,7,1,0
100858,20499,7,1,1
100858,20501,7,0,1
100858,20506,7,1,0
100858,30401,5,1,0
100858,30405,7,1,0
100858,30504,5,6,0
100858,30506,5,24,4
100858,30506,7,5,0
100858,30506,9,1,0
100858,30599,7,1,0
100858,30601,5,9,1
100858,30601,7,2,0
100858,40101,5,124,0
100858,40201,5,48,7
100858,40301,7,2,1
100858,40401,5,12,2
100858,40501,5,1,14
100858,40601,5,7,4
100858,49999,5,0,3
100858,60201,5,74,82
100858,60301,5,71,42
100858,60401,5,49,33
100858,60401,7,14,5
100858,60501,5,11,7
100858,60501,7,1,1
100858,60705,5,27,19
100858,60901,5,3,3
100858,61401,5,17,18
100858,61601,5,19,25
100858,62001,5,91,26
100858,70401,5,0,18
100858,80102,5,1,26
100858,90401,5,12,13
100858,90501,5,10,59
100858,90701,5,14,26
100858,90701,7,3,3
100858,99999,5,6,2
100858,110101,5,14,13
100858,130301,9,0,5
100858,130401,7,1,0
100858,130401,9,1,3
100858,130405,7,0,1
100858,130405,9,2,4
100858,130406,7,0,1
100858,130406,9,3,0
100858,130501,7,0,11
100858,131004,7,0,1
100858,131005,5,0,10
100858,131005,7,0,2
100858,131006,5,0,6
100858,131006,7,0,2
100858,131011,7,0,4
100858,131012,5,1,27
100858,131099,5,0,10
100858,131099,7,0,1
100858,131101,7,0,2
100858,131101,9,2,0
100858,131201,5,15,2
100858,131202,5,1,54
100858,131202,7,0,12
100858,131204,5,0,55
100858,131204,7,0,11
100858,131204,9,0,3
100858,131299,7,2,0
100858,131299,9,4,6
100858,131301,5,9,0
100858,131301,7,3,0
100858,131302,5,0,1
100858,131303,5,0,5
100858,131303,7,0,4
100858,131305,5,1,5
100858,131305,7,2,4
100858,131305,9,0,2
100858,131306,5,0,1
100858,131307,5,0,2
100858,131307,7,0,2
100858,131308,5,0,9
100858,131308,7,0,1
100858,131309,5,2,3
100858,131309,7,2,0
100858,131310,5,5,4
100858,131310,7,1,1
100858,131311,5,1,10
100858,131311,7,1,3
100858,131312,5,6,2
100858,131312,7,4,3
100858,131314,5,19,21
100858,131314,7,11,9
100858,131315,7,0,2
100858,131315,9,0,1
100858,131316,5,2,7
100858,131316,7,3,1
100858,131316,9,2,1
100858,131317,5,8,7
100858,131317,7,1,1
100858,131320,7,3,1
100858,139999,7,0,2
100858,139999,9,1,1
100858,140201,5,36,3
100858,140201,7,3,0
100858,140301,5,7,1
100858,140301,7,1,0
100858,140701,5,72,19
100858,140701,7,7,0
100858,140701,9,2,0
100858,140801,5,77,7
100858,140801,7,5,0
100858,140901,5,32,18
100858,141001,5,172,19
100858,141001,7,9,1
100858,141001,9,1,0
100858,141701,5,46,21
100858,141701,7,2,1
100858,141801,5,5,0
100858,141901,5,100,5
100858,141901,7,3,1
100858,142801,5,4,1
100858,149999,5,46,7
100858,160501,5,0,2
100858,160599,5,2,6
100858,160901,5,0,5
100858,160901,7,1,3
100858,160905,5,0,2
100858,160905,7,2,2
100858,169999,5,5,7
100858,170309,5,5,20
100858,170407,7,1,2
100858,170499,7,0,2
100858,170899,5,2,14
100858,170899,7,2,13
100858,180101,5,1,1
