unitid,"cipcode",awlevel,crace01,crace02,crace03,crace04,crace05,crace06,crace07,crace08,crace09,crace10,crace11,crace12,bal_m,bal_w,crace15,crace16
100663,"13.0000",8,,,1,5,0,0,0,0,0,0,11,36,0,0,12,41
100663,"13.0000",9,,,,,0,0,0,0,0,0,1,1,0,0,1,1
100663,"14.0000",5,1,,2,2,0,0,,,0,0,64,14,0,0,67,16
100663,"14.0000",7,5,,1,,0,0,1,,0,0,12,4,0,0,19,4
100663,"14.0000",9,,,,,0,0,,,0,0,2,,0,,2,
100663,"15.0000",2,0,0,1,,0,0,0,0,0,0,14,1,0,0,15,1
100663,"16.0000",5,0,0,,1,0,0,0,0,,1,,4,,0,,6
100663,"17.0000",1,0,0,2,8,0,0,1,,0,0,88,21,0,0,91,29
100663,"17.0000",2,0,0,4,34,0,0,,,0,0,64,111,0,0,68,145
100663,"17.0000",5,0,0,5,4,0,0,,,,,25,49,0,0,30,53
100663,"17.0000",7,0,0,,,0,0,,1,,1,8,23,0,0,8,25
100663,"18.0000",5,,1,2,35,0,0,,,,,25,147,0,0,27,183
100663,"18.0000",7,12,9,2,11,0,0,1,,2,1,50,112,0,0,67,133
100663,"18.0000",9,,,,,0,0,1,,,,3,13,0,0,4,13
100663,"18.0401",10,1,,,1,0,0,4,1,,1,32,13,0,0,37,16
100663,"18.1001",10,0,0,5,2,1,,1,1,0,0,103,35,0,0,110,38
100663,"18.1201",10,0,0,1,,0,0,0,0,0,0,22,13,0,0,23,13
100663,"19.0000",6,0,0,0,0,0,0,0,0,0,0,,18,,0,,18
100663,"20.0000",2,0,0,,8,0,0,0,0,0,0,0,0,,0,,8
100663,"23.0000",5,0,0,,4,0,0,0,0,0,0,11,14,0,0,11,18
100663,"23.0000",7,0,0,,,0,0,0,0,0,0,4,4,0,0,4,4
100663,"26.0000",5,1,,4,7,0,0,0,0,1,,22,6,0,0,28,13
100663,"26.0000",7,,1,,,0,0,0,0,,,2,5,0,0,2,6
100663,"26.0000",9,,2,,,0,0,0,0,1,,10,2,0,0,11,4
100663,"27.0000",5,0,0,1,,0,0,0,0,0,0,8,1,0,0,9,1
100663,"27.0000",7,0,0,,,0,0,0,0,0,0,,1,,0,,1
100663,"30.0000",5,3,,1,2,0,0,0,0,0,0,17,11,0,0,21,13
100663,"38.0000",5,0,0,1,,0,0,0,0,0,0,3,1,0,0,4,1
100663,"40.0000",5,1,1,1,,0,0,0,0,1,,10,6,0,0,13,7
100663,"40.0000",7,,1,,,0,0,0,0,,,5,,0,0,5,1
100663,"40.0000",9,,,,,0,0,0,0,,,2,,0,,2,
100663,"42.0000",5,0,0,,1,,1,0,0,0,0,9,21,0,0,9,23
100663,"42.0000",7,0,0,,,,,0,0,0,0,,4,,0,,4
100663,"42.0000",9,0,0,,,,,0,0,0,0,1,1,0,0,1,1
100663,"43.0000",5,0,0,11,11,0,0,0,0,0,0,21,17,0,0,32,28
100663,"43.0000",7,0,0,,2,0,0,0,0,0,0,1,2,0,0,1,4
